Timestamp,ref_rpm_1,Timestamp,sht_controller[1].pid_speed.Output,Timestamp,sht_motor[1].measure.real_current,Timestamp,sht_motor[1].measure.speed_rpm,
13807894,7000,13807894,65.0588,13807894,-345,13807894,7000,
13840650,7000,13840650,163.666,13840650,488,13840650,7004,
13864356,7000,13864356,118.699,13864356,-169,13864356,7003,
13903256,7000,13903256,117.684,13903256,165,13903256,6995,
13931308,7000,13931308,-116.094,13931308,261,13931308,6995,
13961136,7000,13961136,-87.3415,13961136,422,13961136,6994,
13997025,7000,13997025,92.7495,13997025,-220,13997025,6995,
14026502,7000,14026502,49.7142,14026502,-209,14026502,6999,
14060058,7000,14060058,163.73,14060058,18,14060058,7003,
14105987,7000,14105987,101.72,14105987,628,14105987,6995,
14134417,7000,14134417,94.7471,14134417,90,14134417,6995,
14168729,7000,14168729,165.748,14168729,622,14168729,6998,
14196293,7000,14196293,73.7616,14196293,49,14196293,6993,
14230437,7000,14230437,64.7817,14230437,-76,14230437,6999,
14258823,7000,14258823,30.7835,14258823,-90,14258823,6999,
14296148,7000,14296148,151.696,14296148,-116,14296148,7000,
14322199,7000,14322199,30.8184,14322199,493,14322199,7002,
14356160,7000,14356160,46.8012,14356160,-19,14356160,7004,
14387003,7000,14387003,-66.1933,14387003,111,14387003,7002,
14416189,7000,14416189,92.8155,14416189,212,14416189,6992,
14447094,7000,14447094,-69.2144,14447094,329,14447094,6997,
14473906,7000,14473906,94.8305,14473906,-540,14473906,7004,
14506389,7000,14506389,146.838,14506389,-319,14506389,6998,
14537953,7000,14537953,121.848,14537953,444,14537953,6994,
14572581,7000,14572581,-96.0724,14572581,88,14572581,6997,
14604999,7000,14604999,-16.1359,14604999,247,14604999,6998,
14637833,7000,14637833,101.948,14637833,-358,14637833,6997,
14668942,7000,14668942,72.8739,14668942,381,14668942,6998,
14691279,7000,14691279,43.8454,14691279,99,14691279,6990,
14729055,7000,14729055,31.8951,14729055,-475,14729055,6995,
14756775,7000,14756775,0,14756775,-216,14756775,6994,
14791316,7000,14791316,94.909,14791316,-100,14791316,6999,
14821823,7000,14821823,-50.0818,14821823,-669,14821823,6996,
14854207,7000,14854207,120.968,14854207,-196,14854207,6996,
14886501,7000,14886501,120.986,14886501,390,14886501,6993,
14928857,7000,14928857,74.9456,14928857,313,14928857,7005,
14962645,7000,14962645,47.9789,14962645,-181,14962645,6994,
14992432,7000,14992432,167.027,14992432,187,14992432,6998,
15023903,7000,15023903,0,15023903,647,15023903,6997,
15091830,7000,15091830,-161.014,15091830,512,15091830,6996,
15116304,7000,15116304,169.859,15116304,310,15116304,6994,
15154176,7000,15154176,140.042,15154176,25,15154176,7001,
15188095,7000,15188095,0,15188095,646,15188095,6994,
15233910,7000,15233910,43.9476,15233910,78,15233910,7000,
15259226,7000,15259226,50.0102,15259226,436,15259226,6994,
15294565,7000,15294565,26.0372,15294565,-230,15294565,7005,
15321574,7000,15321574,73.045,15321574,560,15321574,6996,
15353579,7000,15353579,119.038,15353579,-417,15353579,6999,
15388525,7000,15388525,-50.0615,15388525,535,15388525,6996,
15414186,7000,15414186,166.086,15414186,128,15414186,6998,
15445113,7000,15445113,32.0691,15445113,334,15445113,6995,
15476727,7000,15476727,94.0745,15476727,17,15476727,7005,
15526877,7000,15526877,26.0929,15526877,27,15526877,7002,
15556947,7000,15556947,119.09,15556947,-383,15556947,7005,
15585629,7000,15585629,216.108,15585629,-608,15585629,6998,
15618281,7000,15618281,93.1396,15618281,-59,15618281,6999,
15647160,7000,15647160,21.1255,15647160,-653,15647160,7000,
15680906,7000,15680906,48.1328,15680906,178,15680906,6996,
15713955,7000,15713955,49.1376,15713955,139,15713955,7000,
15734447,7000,15734447,-48.7833,15734447,51,15734447,6993,
15772517,7000,15772517,-49.7675,15772517,178,15772517,6999,
15800749,7000,15800749,-162.837,15800749,-62,15800749,6998,
15834886,7000,15834886,149.957,15834886,299,15834886,6997,
